08:57:54.637 [main] INFO  com.yyj.springmvc.SpringmvcApplication - Starting SpringmvcApplication using Java 1.8.0_74 on LAPTOP-9TAACR21 with PID 35100 (C:\Users\闫寅杰\Desktop\springMvcDemo\springmvc\target\classes started by 闫寅杰 in C:\Users\闫寅杰\Desktop\springMvcDemo)
09:14:18.558 [http-nio-8080-exec-4] INFO  com.yyj.springmvc.aspect.LoggingAspect - URL: http://127.0.0.1:8080/login
09:14:18.558 [http-nio-8080-exec-4] INFO  com.yyj.springmvc.aspect.LoggingAspect - HTTP Method: GET
09:14:18.558 [http-nio-8080-exec-4] INFO  com.yyj.springmvc.aspect.LoggingAspect - Controller Method: com.yyj.springmvc.controller.LoginController.loginPage
09:14:18.558 [http-nio-8080-exec-4] INFO  com.yyj.springmvc.aspect.LoggingAspect - Request Args: []
09:14:18.558 [http-nio-8080-exec-4] INFO  com.yyj.springmvc.aspect.LoggingAspect - === Controller Response ===
09:14:18.558 [http-nio-8080-exec-4] INFO  com.yyj.springmvc.aspect.LoggingAspect - Method: com.yyj.springmvc.controller.LoginController.loginPage
09:14:18.558 [http-nio-8080-exec-4] INFO  com.yyj.springmvc.aspect.LoggingAspect - Response: login.html
09:14:18.565 [http-nio-8080-exec-5] INFO  com.yyj.springmvc.aspect.LoggingAspect - === Controller Request ===
09:14:18.565 [http-nio-8080-exec-5] INFO  com.yyj.springmvc.aspect.LoggingAspect - URL: http://127.0.0.1:8080/login
09:14:18.566 [http-nio-8080-exec-5] INFO  com.yyj.springmvc.aspect.LoggingAspect - HTTP Method: GET
09:14:18.566 [http-nio-8080-exec-5] INFO  com.yyj.springmvc.aspect.LoggingAspect - Controller Method: com.yyj.springmvc.controller.LoginController.loginPage
09:14:18.566 [http-nio-8080-exec-5] INFO  com.yyj.springmvc.aspect.LoggingAspect - Request Args: []
09:14:18.566 [http-nio-8080-exec-5] INFO  com.yyj.springmvc.aspect.LoggingAspect - === Controller Response ===
09:14:18.566 [http-nio-8080-exec-5] INFO  com.yyj.springmvc.aspect.LoggingAspect - Method: com.yyj.springmvc.controller.LoginController.loginPage
09:14:18.566 [http-nio-8080-exec-5] INFO  com.yyj.springmvc.aspect.LoggingAspect - Response: login.html
09:14:18.572 [http-nio-8080-exec-6] INFO  com.yyj.springmvc.aspect.LoggingAspect - === Controller Request ===
09:14:18.572 [http-nio-8080-exec-6] INFO  com.yyj.springmvc.aspect.LoggingAspect - URL: http://127.0.0.1:8080/login
09:14:18.572 [http-nio-8080-exec-6] INFO  com.yyj.springmvc.aspect.LoggingAspect - HTTP Method: GET
09:14:18.572 [http-nio-8080-exec-6] INFO  com.yyj.springmvc.aspect.LoggingAspect - Controller Method: com.yyj.springmvc.controller.LoginController.loginPage
09:14:18.573 [http-nio-8080-exec-6] INFO  com.yyj.springmvc.aspect.LoggingAspect - Request Args: []
09:14:18.573 [http-nio-8080-exec-6] INFO  com.yyj.springmvc.aspect.LoggingAspect - === Controller Response ===
09:14:18.573 [http-nio-8080-exec-6] INFO  com.yyj.springmvc.aspect.LoggingAspect - Method: com.yyj.springmvc.controller.LoginController.loginPage
09:14:18.573 [http-nio-8080-exec-6] INFO  com.yyj.springmvc.aspect.LoggingAspect - Response: login.html
09:14:18.580 [http-nio-8080-exec-9] INFO  com.yyj.springmvc.aspect.LoggingAspect - === Controller Request ===
09:14:18.580 [http-nio-8080-exec-9] INFO  com.yyj.springmvc.aspect.LoggingAspect - URL: http://127.0.0.1:8080/login
09:14:18.580 [http-nio-8080-exec-9] INFO  com.yyj.springmvc.aspect.LoggingAspect - HTTP Method: GET
09:14:18.580 [http-nio-8080-exec-9] INFO  com.yyj.springmvc.aspect.LoggingAspect - Controller Method: com.yyj.springmvc.controller.LoginController.loginPage
09:14:18.580 [http-nio-8080-exec-9] INFO  com.yyj.springmvc.aspect.LoggingAspect - Request Args: []
09:14:18.581 [http-nio-8080-exec-9] INFO  com.yyj.springmvc.aspect.LoggingAspect - === Controller Response ===
09:14:18.581 [http-nio-8080-exec-9] INFO  com.yyj.springmvc.aspect.LoggingAspect - Method: com.yyj.springmvc.controller.LoginController.loginPage
09:14:18.581 [http-nio-8080-exec-9] INFO  com.yyj.springmvc.aspect.LoggingAspect - Response: login.html
09:14:18.585 [http-nio-8080-exec-10] INFO  com.yyj.springmvc.aspect.LoggingAspect - === Controller Request ===
09:14:18.585 [http-nio-8080-exec-10] INFO  com.yyj.springmvc.aspect.LoggingAspect - URL: http://127.0.0.1:8080/login
09:14:18.585 [http-nio-8080-exec-10] INFO  com.yyj.springmvc.aspect.LoggingAspect - HTTP Method: GET
09:14:18.585 [http-nio-8080-exec-10] INFO  com.yyj.springmvc.aspect.LoggingAspect - Controller Method: com.yyj.springmvc.controller.LoginController.loginPage
09:14:18.585 [http-nio-8080-exec-10] INFO  com.yyj.springmvc.aspect.LoggingAspect - Request Args: []
09:14:18.587 [http-nio-8080-exec-10] INFO  com.yyj.springmvc.aspect.LoggingAspect - === Controller Response ===
09:14:18.587 [http-nio-8080-exec-10] INFO  com.yyj.springmvc.aspect.LoggingAspect - Method: com.yyj.springmvc.controller.LoginController.loginPage
09:14:18.587 [http-nio-8080-exec-10] INFO  com.yyj.springmvc.aspect.LoggingAspect - Response: login.html
09:14:18.593 [http-nio-8080-exec-7] INFO  com.yyj.springmvc.aspect.LoggingAspect - === Controller Request ===
09:14:18.593 [http-nio-8080-exec-7] INFO  com.yyj.springmvc.aspect.LoggingAspect - URL: http://127.0.0.1:8080/login
09:14:18.593 [http-nio-8080-exec-7] INFO  com.yyj.springmvc.aspect.LoggingAspect - HTTP Method: GET
09:14:18.593 [http-nio-8080-exec-7] INFO  com.yyj.springmvc.aspect.LoggingAspect - Controller Method: com.yyj.springmvc.controller.LoginController.loginPage
09:14:18.594 [http-nio-8080-exec-7] INFO  com.yyj.springmvc.aspect.LoggingAspect - Request Args: []
09:14:18.594 [http-nio-8080-exec-7] INFO  com.yyj.springmvc.aspect.LoggingAspect - === Controller Response ===
09:14:18.594 [http-nio-8080-exec-7] INFO  com.yyj.springmvc.aspect.LoggingAspect - Method: com.yyj.springmvc.controller.LoginController.loginPage
09:14:18.594 [http-nio-8080-exec-7] INFO  com.yyj.springmvc.aspect.LoggingAspect - Response: login.html
09:14:18.602 [http-nio-8080-exec-8] INFO  com.yyj.springmvc.aspect.LoggingAspect - === Controller Request ===
09:14:18.603 [http-nio-8080-exec-8] INFO  com.yyj.springmvc.aspect.LoggingAspect - URL: http://127.0.0.1:8080/login
09:14:18.603 [http-nio-8080-exec-8] INFO  com.yyj.springmvc.aspect.LoggingAspect - HTTP Method: GET
09:14:18.603 [http-nio-8080-exec-8] INFO  com.yyj.springmvc.aspect.LoggingAspect - Controller Method: com.yyj.springmvc.controller.LoginController.loginPage
09:14:18.603 [http-nio-8080-exec-8] INFO  com.yyj.springmvc.aspect.LoggingAspect - Request Args: []
09:14:18.603 [http-nio-8080-exec-8] INFO  com.yyj.springmvc.aspect.LoggingAspect - === Controller Response ===
09:14:18.603 [http-nio-8080-exec-8] INFO  com.yyj.springmvc.aspect.LoggingAspect - Method: com.yyj.springmvc.controller.LoginController.loginPage
09:14:18.603 [http-nio-8080-exec-8] INFO  com.yyj.springmvc.aspect.LoggingAspect - Response: login.html
09:14:19.663 [http-nio-8080-exec-1] INFO  com.yyj.springmvc.aspect.LoggingAspect - === Controller Request ===
09:14:19.663 [http-nio-8080-exec-1] INFO  com.yyj.springmvc.aspect.LoggingAspect - URL: http://127.0.0.1:8080/login
09:14:19.663 [http-nio-8080-exec-1] INFO  com.yyj.springmvc.aspect.LoggingAspect - HTTP Method: GET
09:14:19.663 [http-nio-8080-exec-1] INFO  com.yyj.springmvc.aspect.LoggingAspect - Controller Method: com.yyj.springmvc.controller.LoginController.loginPage
09:14:19.664 [http-nio-8080-exec-1] INFO  com.yyj.springmvc.aspect.LoggingAspect - Request Args: []
09:14:19.664 [http-nio-8080-exec-1] INFO  com.yyj.springmvc.aspect.LoggingAspect - === Controller Response ===
09:14:19.664 [http-nio-8080-exec-1] INFO  com.yyj.springmvc.aspect.LoggingAspect - Method: com.yyj.springmvc.controller.LoginController.loginPage
09:14:19.664 [http-nio-8080-exec-1] INFO  com.yyj.springmvc.aspect.LoggingAspect - Response: login.html
09:14:19.670 [http-nio-8080-exec-3] INFO  com.yyj.springmvc.aspect.LoggingAspect - === Controller Request ===
09:14:19.671 [http-nio-8080-exec-3] INFO  com.yyj.springmvc.aspect.LoggingAspect - URL: http://127.0.0.1:8080/login
09:14:19.671 [http-nio-8080-exec-3] INFO  com.yyj.springmvc.aspect.LoggingAspect - HTTP Method: GET
09:14:19.671 [http-nio-8080-exec-3] INFO  com.yyj.springmvc.aspect.LoggingAspect - Controller Method: com.yyj.springmvc.controller.LoginController.loginPage
09:14:19.671 [http-nio-8080-exec-3] INFO  com.yyj.springmvc.aspect.LoggingAspect - Request Args: []
09:14:19.671 [http-nio-8080-exec-3] INFO  com.yyj.springmvc.aspect.LoggingAspect - === Controller Response ===
09:14:19.671 [http-nio-8080-exec-3] INFO  com.yyj.springmvc.aspect.LoggingAspect - Method: com.yyj.springmvc.controller.LoginController.loginPage
09:14:19.671 [http-nio-8080-exec-3] INFO  com.yyj.springmvc.aspect.LoggingAspect - Response: login.html
09:14:19.677 [http-nio-8080-exec-2] INFO  com.yyj.springmvc.aspect.LoggingAspect - === Controller Request ===
09:14:19.677 [http-nio-8080-exec-2] INFO  com.yyj.springmvc.aspect.LoggingAspect - URL: http://127.0.0.1:8080/login
09:14:19.677 [http-nio-8080-exec-2] INFO  com.yyj.springmvc.aspect.LoggingAspect - HTTP Method: GET
09:14:19.677 [http-nio-8080-exec-2] INFO  com.yyj.springmvc.aspect.LoggingAspect - Controller Method: com.yyj.springmvc.controller.LoginController.loginPage
09:14:19.677 [http-nio-8080-exec-2] INFO  com.yyj.springmvc.aspect.LoggingAspect - Request Args: []
09:14:19.677 [http-nio-8080-exec-2] INFO  com.yyj.springmvc.aspect.LoggingAspect - === Controller Response ===
09:14:19.679 [http-nio-8080-exec-2] INFO  com.yyj.springmvc.aspect.LoggingAspect - Method: com.yyj.springmvc.controller.LoginController.loginPage
09:14:19.683 [http-nio-8080-exec-2] INFO  com.yyj.springmvc.aspect.LoggingAspect - Response: login.html
09:14:19.723 [http-nio-8080-exec-4] INFO  com.yyj.springmvc.aspect.LoggingAspect - === Controller Request ===
09:14:19.723 [http-nio-8080-exec-4] INFO  com.yyj.springmvc.aspect.LoggingAspect - URL: http://127.0.0.1:8080/login
09:14:19.723 [http-nio-8080-exec-4] INFO  com.yyj.springmvc.aspect.LoggingAspect - HTTP Method: GET
09:14:19.723 [http-nio-8080-exec-4] INFO  com.yyj.springmvc.aspect.LoggingAspect - Controller Method: com.yyj.springmvc.controller.LoginController.loginPage
09:14:19.723 [http-nio-8080-exec-4] INFO  com.yyj.springmvc.aspect.LoggingAspect - Request Args: []
09:14:19.724 [http-nio-8080-exec-4] INFO  com.yyj.springmvc.aspect.LoggingAspect - === Controller Response ===
09:14:19.724 [http-nio-8080-exec-4] INFO  com.yyj.springmvc.aspect.LoggingAspect - Method: com.yyj.springmvc.controller.LoginController.loginPage
09:14:19.724 [http-nio-8080-exec-4] INFO  com.yyj.springmvc.aspect.LoggingAspect - Response: login.html
09:14:19.750 [http-nio-8080-exec-5] INFO  com.yyj.springmvc.aspect.LoggingAspect - === Controller Request ===
09:14:19.750 [http-nio-8080-exec-5] INFO  com.yyj.springmvc.aspect.LoggingAspect - URL: http://127.0.0.1:8080/login
09:14:19.750 [http-nio-8080-exec-5] INFO  com.yyj.springmvc.aspect.LoggingAspect - HTTP Method: GET
09:14:19.750 [http-nio-8080-exec-5] INFO  com.yyj.springmvc.aspect.LoggingAspect - Controller Method: com.yyj.springmvc.controller.LoginController.loginPage
09:14:19.750 [http-nio-8080-exec-5] INFO  com.yyj.springmvc.aspect.LoggingAspect - Request Args: []
09:14:19.750 [http-nio-8080-exec-5] INFO  com.yyj.springmvc.aspect.LoggingAspect - === Controller Response ===
09:14:19.750 [http-nio-8080-exec-5] INFO  com.yyj.springmvc.aspect.LoggingAspect - Method: com.yyj.springmvc.controller.LoginController.loginPage
09:14:19.750 [http-nio-8080-exec-5] INFO  com.yyj.springmvc.aspect.LoggingAspect - Response: login.html
09:14:19.759 [http-nio-8080-exec-6] INFO  com.yyj.springmvc.aspect.LoggingAspect - === Controller Request ===
09:14:19.759 [http-nio-8080-exec-6] INFO  com.yyj.springmvc.aspect.LoggingAspect - URL: http://127.0.0.1:8080/login
09:14:19.759 [http-nio-8080-exec-6] INFO  com.yyj.springmvc.aspect.LoggingAspect - HTTP Method: GET
09:14:19.759 [http-nio-8080-exec-6] INFO  com.yyj.springmvc.aspect.LoggingAspect - Controller Method: com.yyj.springmvc.controller.LoginController.loginPage
09:14:19.759 [http-nio-8080-exec-6] INFO  com.yyj.springmvc.aspect.LoggingAspect - Request Args: []
09:14:19.759 [http-nio-8080-exec-6] INFO  com.yyj.springmvc.aspect.LoggingAspect - === Controller Response ===
09:14:19.759 [http-nio-8080-exec-6] INFO  com.yyj.springmvc.aspect.LoggingAspect - Method: com.yyj.springmvc.controller.LoginController.loginPage
09:14:19.759 [http-nio-8080-exec-6] INFO  com.yyj.springmvc.aspect.LoggingAspect - Response: login.html
09:14:19.767 [http-nio-8080-exec-9] INFO  com.yyj.springmvc.aspect.LoggingAspect - === Controller Request ===
09:14:19.767 [http-nio-8080-exec-9] INFO  com.yyj.springmvc.aspect.LoggingAspect - URL: http://127.0.0.1:8080/login
09:14:19.767 [http-nio-8080-exec-9] INFO  com.yyj.springmvc.aspect.LoggingAspect - HTTP Method: GET
09:14:19.767 [http-nio-8080-exec-9] INFO  com.yyj.springmvc.aspect.LoggingAspect - Controller Method: com.yyj.springmvc.controller.LoginController.loginPage
09:14:19.767 [http-nio-8080-exec-9] INFO  com.yyj.springmvc.aspect.LoggingAspect - Request Args: []
